N_atoms,Madelung,Madelung_borders
2,-0,1
4,2,1.16667
6,1,1.23333
8,1.66667,1.26905
10,1.16667,1.29127
12,1.56667,1.30642
14,1.23333,1.31741
16,1.51905,1.32574
18,1.26905,1.33228
20,1.49127,1.33754
22,1.29127,1.34187
24,1.47309,1.34549
26,1.30642,1.34857
28,1.46027,1.35122
30,1.31741,1.35352
32,1.45074,1.35553
34,1.32574,1.35731
36,1.44339,1.3589
38,1.33228,1.36032
40,1.43754,1.36161
42,1.33754,1.36277
44,1.43278,1.36383
46,1.34187,1.36479
48,1.42883,1.36568
50,1.34549,1.36649
52,1.42549,1.36725
54,1.34857,1.36795
56,1.42265,1.3686
58,1.35122,1.3692
60,1.42018,1.36977
62,1.35352,1.3703
64,1.41803,1.37079
66,1.35553,1.37126
68,1.41614,1.3717
70,1.35731,1.37211
72,1.41446,1.3725
74,1.3589,1.37287
76,1.41296,1.37322
78,1.36032,1.37356
80,1.41161,1.37387
82,1.36161,1.37417
84,1.41039,1.37446
86,1.36277,1.37473
88,1.40928,1.375
90,1.36383,1.37524
92,1.40827,1.37548
94,1.36479,1.37571
96,1.40734,1.37593
98,1.36568,1.37614
100,1.40649,1.37634
